_id,city,coord.lon,coord.lat,weather[0].id,weather[1].id,weather[0].main,weather[1].main,weather[0].description,weather[1].description,weather[0].icon,weather[1].icon,base,main.temp,main.feels_like,main.temp_min,main.temp_max,main.pressure,main.humidity,main.sea_level,main.grnd_level,visibility,wind.speed,wind.deg,clouds.all,dt,sys.type,sys.id,sys.country,sys.sunrise,sys.sunset,timezone,id,name,cod,wind.gust,rain.1h
673f420f644efe42f45e0775,,88.3697,22.5697,721,,Haze,,haze,,50d,,stations,27.97,28.16,27.97,27.97,1011,47,1011,1010,3500,2.57,320,40,1732175149,1,9114,IN,1732148606,1732188104,19800,1275004,Kolkata,200,,
673f420f644efe42f45e0776,,80.2785,13.0878,721,,Haze,,haze,,50d,,stations,30.09,34.54,28.94,30.59,1011,67,1011,1010,4000,4.63,60,75,1732175698,2,2093220,IN,1732149641,1732190953,19800,1264527,Chennai,200,,
673f420f644efe42f45e0777,,77.6033,12.9762,721,,Haze,,haze,,50d,,stations,25.92,26.11,24.9,26.32,1011,59,1011,914,5000,1.03,100,40,1732175599,2,2017753,IN,1732150273,1732191606,19800,1277333,Bengaluru,200,,
673f420f644efe42f45e0778,,78.4744,17.3753,721,,Haze,,haze,,50d,,stations,28.23,27.6,27.73,28.23,1012,36,1012,949,5000,2.57,100,79,1732175879,1,9214,IN,1732150473,1732190988,19800,1269843,Hyderabad,200,,
673f420f644efe42f45e0779,,75.8167,26.9167,721,,Haze,,haze,,50d,,stations,24.62,23.84,24.62,24.62,1014,27,1014,966,3000,3.09,90,0,1732175444,1,9170,IN,1732152077,1732190660,19800,1269515,Jaipur,200,,
673f420f644efe42f45e077a,,77.4,23.2667,800,,Clear,,clear sky,,01d,,stations,25.44,24.61,25.44,25.44,1013,22,1013,956,10000,2.12,5,0,1732175962,,,IN,1732151311,1732190666,19800,1275841,Bhopal,200,2.18,
673f420f644efe42f45e077b,,80.9167,26.85,711,,Smoke,,smoke,,50d,,stations,23.99,23.65,23.99,23.99,1013,46,1013,999,1500,1.54,350,0,1732175309,1,9176,IN,1732150845,1732189443,19800,1264733,Lucknow,200,,
673f420f644efe42f45e077c,,85.1167,25.6,711,,Smoke,,smoke,,50d,,stations,26.96,27.63,26.96,26.96,1012,54,1012,1006,2200,2.06,320,0,1732175674,1,9129,IN,1732149702,1732188570,19800,1260086,Patna,200,,
673f420f644efe42f45e077d,,76.9167,8.4833,501,701,Rain,Mist,moderate rain,mist,10d,50d,stations,27.99,32.54,27.99,27.99,1008,83,1008,1008,4000,3.09,360,100,1732175968,1,9226,IN,1732150035,1732192174,19800,1254163,Trivandrum,200,,2.2
673f420f644efe42f45e077e,,76.7933,30.7343,800,,Clear,,clear sky,,01d,,stations,25.25,24.41,25.25,25.25,1014,22,1014,974,10000,2.81,302,0,1732175813,,,IN,1732152274,1732189993,19800,1274746,Chandigarh,200,3.44,
673f420f644efe42f45e077f,,85.8333,20.2333,721,,Haze,,haze,,50d,,stations,28.12,27.91,28.12,28.32,1011,42,1011,1007,5000,1.54,40,20,1732175969,1,9113,IN,1732148982,1732188946,19800,1275817,Bhubaneswar,200,,
673f420f644efe42f45e0780,,85.3333,23.35,721,,Haze,,haze,,50d,,stations,23.06,22.47,23.06,23.06,1013,40,1013,938,4000,2.57,70,0,1732175812,1,9131,IN,1732149415,1732188753,19800,1258526,Ranchi,200,,
673f420f644efe42f45e0781,,78.0437,30.3256,800,,Clear,,clear sky,,01d,,stations,22.19,21.4,22.19,22.19,1014,36,1014,919,10000,2.88,234,0,1732175814,1,9162,IN,1732151926,1732189741,19800,1273313,Dehradun,200,1.79,
673f420f644efe42f45e0782,,91.8831,25.5689,802,,Clouds,,scattered clouds,,03d,,stations,21.02,20.12,21.02,21.02,1013,36,1013,853,6000,3.09,140,40,1732175970,1,9111,IN,1732148074,1732186950,19800,1256523,Shillong,200,,
673f420f644efe42f45e0783,,88.6167,27.3333,803,,Clouds,,broken clouds,,04d,,stations,17.8,17.25,17.8,17.8,1015,62,1015,817,10000,1.47,214,71,1732175970,,,IN,1732149049,1732187543,19800,1271631,Gangtok,200,1.6,
673f420f644efe42f45e0784,,93.6167,27.1,800,,Clear,,clear sky,,01d,,stations,24.54,23.99,24.54,24.54,1012,36,1012,947,10000,1.68,132,0,1732175971,,,IN,1732147822,1732186369,19800,1269655,Itanagar,200,1.87,
673f420f644efe42f45e0785,,94.1167,25.6667,804,,Clouds,,overcast clouds,,04d,,stations,21.43,22.08,21.43,21.43,1014,94,1014,856,10000,0.51,307,90,1732175971,1,9125,IN,1732147548,1732186403,19800,1266366,Kohima,200,0.68,
673f420f644efe42f45e0786,,92.7167,23.7333,721,,Haze,,haze,,50d,,stations,22.89,23.17,22.89,22.89,1011,74,1011,946,4000,1.54,270,75,1732175972,1,9122,IN,1732147681,1732186942,19800,1279186,Aizawl,200,,
673f420f644efe42f45e0787,,91.275,23.8364,800,,Clear,,clear sky,,01d,,stations,29.01,28.8,29.01,29.01,1011,42,1011,1008,6000,2.06,220,0,1732175972,1,9107,IN,1732148038,1732187277,19800,1279290,Agartala,200,,
673f420f644efe42f45e0788,,93.95,24.8167,803,,Clouds,,broken clouds,,04d,,stations,21.95,22.5,21.95,21.95,1011,88,1011,909,6000,1.03,330,75,1732175857,1,9119,IN,1732147498,1732186533,19800,1269771,Imphal,200,,
673f420f644efe42f45e0789,,73.8333,15.4833,721,,Haze,,haze,,50d,,stations,32,32.84,32,32,1010,43,1010,1010,5000,3.6,100,27,1732175973,1,9233,IN,1732151409,1732192280,19800,1260607,Panjim,200,,
673f420f644efe42f45e078a,,77.1667,31.1,800,,Clear,,clear sky,,01d,,stations,14.09,12.36,14.09,14.09,1015,31,1015,851,10000,2.81,262,0,1732175974,,,IN,1732152228,1732189860,19800,1256237,Shimla,200,2.35,
673f420f644efe42f45e078b,,74.8167,34.0833,800,,Clear,,clear sky,,01d,,stations,15.79,13.82,15.79,15.79,1016,15,1016,830,10000,0.9,245,0,1732175821,,,IN,1732153159,1732190058,19800,1255634,Srinagar,200,0.81,
673f420f644efe42f45e078c,,80.3565,16.5747,801,,Clouds,,few clouds,,02d,,stations,28.92,29.8,28.92,28.92,1011,52,1011,1006,10000,0.55,316,19,1732175975,1,9207,IN,1732149945,1732190612,19800,1266209,Amaravati,200,1.2,
